Applicable_Compliance_Frameworks,Control_ID,Control_Category,Control_Status_Distribution,Compliance_Maturity_Level,Control_Testing_Frequency,Business_Impact,Annual_Revenue,Penalty_Risk_Assessment,Remediation_Cost,Asset_Type,Data_Sensitivity_Classification,Organizational_Unit,Business_Area,Geographic_Scope,Industry_Sector,Audit_Type,Audit_Finding_Severity,Repeat_Finding,Compliance_Owner,Evidence_Freshness_Days,Audit_Preparation_Score,Incident_Type,Incident_Notification_Compliance,Incident_Cost_Impact,Revenue_Category,Risk_Exposure_Ratio,ROI_Potential,Compliance_Score,Financial_Risk_Score,Asset_Risk_Index,Audit_Readiness_Score,Incident_Impact_Score,Composite_Risk_Score
SOC2,CC9.2,Compensating,Remediation_Required,3.9,Weekly,Critical,233669601.97,84121.06,19737.98,Database,Internal,Information Security - GRC,Security,ZA,Financial-Services,SOC-Audit,Critical,True,danielle.johnson@finserv.com - Audit Manager,3,0.598,Policy_Violation,False,112344.82,Mid-Market,0.00036000001408313263,3.2618879946174837,56.347500000000004,2.904500492525382,66.25,62.95,60.12639229614454,40.37225360698652
NIST-CSF,MA-26,Hybrid,Compliant,3.2,Quarterly,Medium,22119773884.38,88479.1,500.0,SCADA-System,Public,Patient Data Protection,Cybersecurity,CA,Healthcare,ISO-Audit,Low,False,joshua.walker@health.org - Compliance Manager,12,0.913,No_Incident,True,0.0,Enterprise,4.000000201741665e-06,10.0,84.42500000000001,1.4310720406912083,61.25000000000001,91.325,22.75,24.18557161220736
NIST-CSF,PL-7(12),Technical,Compliant,3.3,Weekly,Medium,44731801.46,1000.0,477.16,Network-Device,Internal,Product Security,IT Governance,JP,Technology,Penetration-Test,Medium,False,jill.rhodes@tech.io - Audit Manager,0,0.814,System_Outage,False,159079.0,SME,2.2355460038742647e-05,1.0957330874339841,76.95,1.0713279104243794,54.50000000000001,85.85,74.00403895578485,34.50970616428428
ISO27001,A.12.3,Detective,Compliant,2.9,Weekly,High,382408559.2,30592.68,500.0,POS-System,Confidential,Product Security,Information Security,NL,Technology,Penetration-Test,Low,False,patricia.miller@tech.io - Compliance Manager,1,0.805,No_Incident,True,0.0,Mid-Market,7.999998761533996e-05,10.0,76.23749999999998,1.611121830329576,67.5,88.625,22.75,27.848961549098878
CIS-Controls,Control 20.8,Detective,Compliant,3.2,Weekly,Negligible,1088560576.75,1000.0,500.0,Endpoint,Public,Security Operations,Endpoint Security,SE,Manufacturing,Third-Party-Risk,Informational,False,robert.johnson@corp.com - Compliance Manager,3,0.842,Policy_Violation,True,13197.75,Large,9.186443284448111e-07,1.0,76.75,0.1320115749185384,43.00000000000001,91.05,43.30133200721765,25.26236987391909
SOC2,CC9.1,Corrective,In_Progress,3.0,Monthly,Medium,40865524.2,6538.48,2033.92,Cloud-Service,Confidential,DevSecOps,Security,ZA,Technology,Customer,Medium,False,jeffery.wagner@tech.io - Compliance Manager,4,0.632,Configuration_Error,True,24471.63,SME,0.00015999990525020596,2.2147183763373186,51.109999999999985,1.0733096781418503,60.75000000000001,81.3,48.22170161045663,37.376333225533884
SOC2,CC4.5,Compensating,Non_Compliant,3.2,Monthly,Negligible,42450700288.74,3183802.52,2380.42,Backup-System,Restricted,Privacy Office,Trust Services Criteria,BR,Healthcare,Compliance-Assessment,High,True,anthony.gonzalez@health.org - Compliance Manager,7,0.453,Policy_Violation,False,2433.45,Enterprise,7.499999996100182e-05,10.0,49.115,0.21735010093417007,72.5,62.324999999999996,55.96600214801902,42.10465545988406
ISO27001,A.14.10.4,Preventive,Non_Compliant,2.6,Weekly,Low,71936156.41,4316.17,550.08,IoT-Device,Internal,Security Architecture,Access Control,IN,Technology,ISO-Audit,Medium,True,debra.gardner@tech.io - Security Manager,2,0.37,Service_Disruption,False,25829.46,SME,6.000000855480792e-05,6.846440517742874,45.21999999999999,0.5468507056125046,55.99999999999999,64.75,72.03033035086523,42.2651212818568
NIST-CSF,SR-4,Administrative,Partially_Compliant,3.8,Quarterly,Negligible,1067486126.59,7685.9,1600.82,Virtual-Machine,Internal,Internal Audit,IT Governance,JP,Financial-Services,Compliance-Assessment,Medium,False,jeffrey.lawrence@finserv.com - Audit Manager,84,0.849,Regulatory_Action,False,568417.56,Large,7.199999895597706e-06,3.8012268712284953,72.325,0.20913964926970635,59.5,80.725,80.63667062517055,37.98382601981502
CIS-Controls,Control 7.1,Administrative,Compliant,2.7,Quarterly,Low,228700921.68,1000.0,456.11,Server,Public,Information Security,Vulnerability Management,ZA,Manufacturing,Third-Party-Risk,Best-Practice,False,lisa.smith@corp.com - Audit Manager,7,0.664,No_Incident,True,0.0,Mid-Market,4.372522824368882e-06,1.1924535747955536,70.5,0.48005486349555493,43.5,86.6,19.0,22.194016459048665
SOC2,CC9.6,Detective,Compliant,2.6,Daily,High,360673750.01,8656.17,3167.8,Data-Store,Internal,Customer Data Protection,Trust Services Criteria,DE,Retail,Regulatory,Medium,False,linda.wolfe@retail.com - Security Manager,0,0.728,No_Incident,True,0.0,Mid-Market,2.3999999999334578e-05,1.7325494033714248,76.50000000000001,1.495323417908835,62.000000000000014,83.7,21.5,26.12359702537265
NIST-CSF,IR-12,Hybrid,In_Progress,3.2,Quarterly,Low,33377722123.38,213617.42,3358.29,API,Public,Data Protection Office,IT Governance,IN,Technology,Third-Party-Risk,Medium,False,matthew.moore@tech.io - Compliance Manager,120,0.584,Configuration_Error,False,12849.63,Enterprise,6.399999952374462e-06,10.0,52.9625,0.5880897408599343,50.24999999999999,68.1,60.77231104851006,36.65276413195999
ISO27001,A.6.11,Compensating,Partially_Compliant,4.1,Monthly,Low,11920077645.78,114432.75,500.0,Server,Public,Policy and Compliance,Compliance,FR,Government,Regulatory,Low,False,susan.rogers@gov.org - Security Manager,11,0.987,System_Outage,True,177052.97,Enterprise,9.60000038594648e-06,10.0,72.08250000000001,0.7141632713148214,51.5,93.175,62.120264172973435,32.492676815989135
